idBike,latitude_unlock,longitude_unlock,latitude_lock,longitude_lock
3418.0,40.4114475,-3.6689089,40.42059,-3.70239
8000.0,40.44635,-3.71383,40.44635,-3.71383
6749.0,40.4344731,-3.7015686,40.4344731,-3.7015686
5015.0,40.435285,-3.6948626,40.419752,-3.688398
6692.0,40.4543852,-3.6835926,40.4165039,-3.7030833
1354.0,40.4163638,-3.7068969,40.41825,-3.6766111
6150.0,40.4251906,-3.6977715,40.4251906,-3.6977715
7340.0,40.39440607959559,-3.7080429728445563,40.4108472,-3.693225
6350.0,40.3917871,-3.7026789,40.42533,-3.69214
7597.0,40.4117627,-3.6766813,40.4323655,-3.6758555
5097.0,40.429887,-3.6712823,40.4053153,-3.7071259
7375.0,40.4302937,-3.7069171,40.4239447,-3.6758383
6327.0,40.4207773,-3.6996502,40.4284246,-3.7061931
6144.0,40.4144226,-3.7007164,40.4144226,-3.7007164
7442.0,40.398247,-3.716591,40.4166834,-3.6894193
2516.0,40.4053153,-3.7071259,40.4138846,-3.7049407
5227.0,40.40635,-3.670422,40.4153053,-3.6779232
7956.0,40.4232649,-3.7038312,40.4548456,-3.6946218
7347.0,40.4200783,-3.7065376,40.4034076,-3.7108108
7416.0,40.43503,-3.67012,40.409808,-3.688822
7981.0,40.4351256,-3.6554918,40.4112744,-3.7088337
3290.0,40.426207143200884,-3.651034981803642,40.4222862,-3.697895
5884.0,40.40635,-3.670422,40.400781,-3.6882407
1806.0,40.4440297,-3.6956047,40.43604,-3.69928
6662.0,40.4112744,-3.7088337,40.43715089959262,-3.64835857929032
4903.0,40.45619382579544,-3.6929376751795306,40.4112744,-3.7088337
7093.0,40.4572824,-3.7009675,40.4572466,-3.6763439
7545.0,40.4418402,-3.7040344,40.423855,-3.694475
7953.0,40.4266828,-3.700423,40.435285,-3.6948626
6103.0,40.413736,-3.717487,40.4163638,-3.7068969
7923.0,40.4029202,-3.6788343,40.4056107,-3.7022591
6777.0,40.4441388,-3.6751388,40.4441388,-3.6751388
6008.0,40.4272582,-3.6752024,40.4324722,-3.6655555
5443.0,40.3928821,-3.6975708,40.3928821,-3.6975708
3933.0,40.4418402,-3.7040344,40.4313576,-3.6838303
4837.0,40.4165039,-3.7030833,40.4165039,-3.7030833
4406.0,40.4157413,-3.6691838,40.4318611,-3.6714166
7250.0,40.389258643579105,-3.6903589643353483,40.4453307,-3.690861
7395.0,40.4044722,-3.6959166,40.4232649,-3.7038312
2872.0,40.4162619,-3.6957355,40.4016111,-3.7138055
4932.0,40.4112744,-3.7088337,40.447125,-3.7001669
7353.0,40.4591366,-3.6894151,40.4591366,-3.6894151
5152.0,40.422064,-3.6821793,40.4071304,-3.6751352
6144.0,40.4300481,-3.6816402,40.4215246,-3.6884369
3223.0,40.4290555,-3.6782777,40.4290555,-3.6782777
2820.0,40.4411388,-3.7080833,40.4344731,-3.7015686
5102.0,40.4260957,-3.713479,40.4260957,-3.713479
5215.0,40.4070358,-3.7110513,40.4165039,-3.7030833
6383.0,40.4186666,-3.6657777,40.419752,-3.688398
196.0,40.423681,-3.710537,40.4347895,-3.7200845
